ID,GPA,Scholarship_Amount,Scholarship_Type
69,2.64,300,Grades
79,3.64,300,Grades
142,2.29,300,Grades
99,2.99,300,Grades
92,2.75,300,Grades
136,2.82,300,Grades
58,3.61,300,Grades
65,2.05,300,Grades
128,3.83,300,Grades
37,2.82,300,Grades
31,3.49,300,Grades
102,3.88,300,Grades
68,3.32,300,Grades
108,2.78,600,Grades
14,2.41,600,Grades
117,3.87,600,Grades
110,2.61,600,Grades
120,3.84,600,Grades
112,3.21,600,Grades
146,2.6,650,Grades
70,2.67,700,Grades
8,3.95,600,Grades
51,2.85,600,Grades
95,2.14,400,Grades
114,2.33,400,Grades
63,2.2,400,Grades
39,3.82,400,Grades
13,2.52,400,Grades
105,2.65,400,Grades
18,2.47,400,Grades
26,3.9,400,Grades
129,3.93,400,Grades
149,3.93,400,Grades
72,3.76,400,Grades
133,3.9,400,Grades
139,2.93,200,Grades
62,2.25,200,Grades
126,2.9,200,Grades
24,2.87,200,Grades
101,3.18,200,Grades
12,3.42,500,Grades
33,3.28,500,Grades
93,3.27,500,Grades
77,3.51,500,Grades
150,2.87,500,Grades
113,2.2,500,Grades
147,2.77,500,Grades
30,3.94,500,Grades
36,2.3,500,Grades
45,3.1,500,Grades
64,2.4,500,Grades
50,2.84,500,Grades
82,3.25,500,Grades
127,2.58,500,Grades
74,2.88,500,Grades
24,3.64,300,Low Income
76,2.44,300,Low Income
124,3.96,300,Low Income
69,3.15,300,Low Income
99,3.8,300,Low Income
30,3.56,300,Low Income
65,2.46,300,Low Income
120,2.88,300,Low Income
116,2.52,300,Low Income
141,2.89,300,Low Income
31,3.3,300,Low Income
149,2.74,600,Low Income
57,2.35,600,Low Income
114,3.23,600,Low Income
105,2.98,600,Low Income
35,3.6,600,Low Income
109,3.99,600,Low Income
86,3.1,600,Low Income
112,2.35,600,Low Income
77,3.67,600,Low Income
131,2.8,600,Low Income
113,2.68,400,Low Income
75,3.02,400,Low Income
27,3.72,400,Low Income
91,3.41,400,Low Income
28,3.19,400,Low Income
102,3.3,400,Low Income
56,3.48,400,Low Income
72,3.76,400,Low Income
94,2.86,400,Low Income
16,2.33,400,Low Income
121,3.56,400,Low Income
44,3.32,400,Low Income
32,3.44,400,Low Income
145,3.57,400,Low Income
5,3.5,200,Low Income
13,3.11,200,Low Income
108,3.64,200,Low Income
123,2.23,200,Low Income
41,2.62,200,Low Income
148,2.76,200,Low Income
130,2.53,200,Low Income
12,2.65,200,Low Income
2,3.79,200,Low Income
71,2.09,200,Low Income
134,2.97,500,Low Income
21,3.2,500,Low Income
78,2.57,500,Low Income
138,3.55,500,Low Income
3,3.8,500,Low Income
117,3.69,550,Low Income
7,3.32,500,Low Income
125,2.44,500,Low Income
55,2.13,500,Low Income
4,3.15,500,Low Income
133,2.72,500,Low Income
140,2.32,500,Low Income
18,2.55,500,Low Income
146,3.22,500,Low Income
82,3.49,500,Low Income
70,3.0,500,Low Income
39,2.89,500,Low Income
119,3.28,500,Low Income
